Id,Series Name,Series Category ,Series Description,Photo
11,912,912,"To bridge the price gap between the 356, which was still being produced at this time and the 911, in 1965 Porsche launched the 912 – a less expensive and significantly less powerful variant of the 911.

In terms of looks and technology, the 912 was virtually identical to the 911. Unlike the 911, however, it was powered by the 1.6-litre flat-four engine from the 356 SC at the rear. Its power output was reduced from 95 to 90 hp at 5,800 rpm for use in the 912 in order to give the engine more low-end torque and stability. Power transmission was provided by a 4-speed manual transmission.",/images/Id_b_11.jpg
12,912,912 E,"For the US market, a 912 E Coupé was also available in model year 1976. Its 2.0-litre flat-four engine delivered a power output of 90 hp. In appearance, the 912 resembled the 911 models of the G series.

However, it featured the dome hub caps of the original 911.",/images/Id_b_12.jpg
13,914,914,"The Porsche 914 was a joint development between Porsche and Volkswagen and was the new Porsche entry-level model as of model year 1970.

The two-seater, also known as the ""VW Porsche"", was a mid-engine Sports Car. Striking design features included the very long wheelbase for the vehicle length, short overhangs, the removable roof centre panel made from glass fiber-reinforced plastic as well as the wide safety bar. The 914 also featured pop-up headlights.

At the time of its launch, the 914 was available with two engines.
914: 1.7-liter flat-four engine with 80 hp from Volkswagen
914/6: 2.0-liter flat-six engine with 110 hp from the Porsche 911 T

These were followed by a 2.0-liter four-cylinder engine with 100 hp based on the 1.7-liter engine in model year 1973 and a 1.8-liter four-cylinder engine with 85 hp in model year 1974.

In the four-cylinder models the ignition lock was located on the right. The wheels of the 914 were mounted with four wheel nuts. The standard 914 model (914/4) was produced by body maker Karmann in Osnabrück.",/images/Id_b_13.jpg
14,914,914-6,"The Porsche 914 was a joint development between Porsche and Volkswagen and was the new Porsche entry-level model as of model year 1970. 

The two-seater, also known as the ""VW Porsche"", was a mid-engine Sports Car. Striking design features included the very long wheelbase for the vehicle length, short overhangs, the removable roof center panel made from glass fiber-reinforced plastic as well as the wide safety bar. The 914 also featured pop-up headlights.

At the time of its launch, the 914 was available with two engines.
914: 1.7-liter flat-four engine with 80 hp from Volkswagen
914-6: 2.0-liter flat-six engine with 110 hp from the Porsche 911 T

In the six-cylinder models, the ignition lock was located to the left of the steering wheel, where it is typically found in Porsche vehicles. The wheels of the 914-6 were mounted with five wheel nuts.

The 914-6 was built by Porsche at the main plant in Stuttgart-Zuffenhausen.",/images/Id_b_14.jpg
15,924,924,"The 924, which was available as of model year 1976, was developed by Porsche on behalf of Volkswagen as the successor to the 914 and eventually produced internally. The new entry-level model was built by Audi in Neckarsulm.

Good aerodynamics were a priority when designing the body of the 924. This was particularly taken into account through the flat bonnet and the pop-up headlights. As of MY 1983, a black rear spoiler brought about a further improvement in the Cd value.

Porsche went in an entirely new direction when designing the drive of the 924. For the very first time, a liquid-cooled front engine was used. This featured an in-line cylinder arrangement. The 125 hp engine was adopted from the Audi 100 and modified by Porsche. The drive power was transmitted according to the transaxle principle.

Only from the 924 S, which was produced as of model year 1986, onwards, was an engine built by Porsche used - the 2.5-litre four-cylinder in-line engine of the 944. The Porsche 924 S, which was available as of MY 1986, represented a significant technical enhancement of the 924 model line. Many components of this model originated in the 944. These included the power unit, brake system, chassis components as well as parts of the interior. The standard aluminium wheels with the ""telephone dial"" design also moved the 924 S closer to the 944. The 2.5-litre engine of the 924 S had the same design as the 944 and initially achieved 150 hp, followed by 160 hp as of MY 1988.",/images/Id_b_15.jpg
16,924,924 Turbo,"The Turbo version of the 924, which was available as of MY 1979, bridged the performance gap between the 924 and the 911 SC.

The body of the 924 Turbo was based on the 924. In the front section, it differed from the standard model through various air openings: 
- Vertical air slots in the front apron to supply air to the brakes and the oil cooler
- Four air openings between the headlights, as well as a NACA air opening on the right in the bonnet for aeration and ventilation of the engine compartment.

The 924 Turbo also featured a black rear spoiler on the rear lid. The aluminium wheels with spoke design were secured with five wheel nuts (like the standard 924 model) instead of four.
The supercharged 2.0-litre four-cylinder in-line engine of the 924 Turbo initially developed 170 hp. In MY 1981, the efficiency of the engine was improved and power output was increased to 177 hp.",/images/Id_b_16.jpg
17,928,928,"When designing the 928, which went into series production as of model year 1978, the focus was on lightweight construction. The doors, front wings and bonnet were therefore made from aluminium instead of sheet steel. Behind the plastic bumpers integrated in the body shape there were also aluminium profiles that could withstand a collision at up to 8 km/h (5 mph) without any damage.

The 928 had round, electrically operated pop-up headlights that were integrated in the wings. The rounded fastback was dominated by the large window of the rear lid.

The 928 models were powered by a water-cooled V8 engine with a 90° cylinder arrangement. The displacement of the power unit was increased from an initial 4.5 litres to 5.4 litres. Power was transmitted according to the transaxle principle.

To improve aerodynamics, the models were fitted with a front and rear spoiler from type 928 S (MY 1979) onwards.

The rear axle of the 928 was a completely new development. What made this double-wishbone suspension – also known as the Weissach axle – unique was its toe-in stabilising effect. This worked more or less as a passive rear-wheel steering, making a significant contribution to the active safety of the Gran Turismo.

928 (MY 1978-82)
The rounded rear end without rear spoiler was an unmistakable distinguishing feature of the 928. Unlike later derivatives, this model did not feature front or rear spoilers. The 4.5-litre engine of the 928 generated 240 hp.

928 S (MY 1980-86)
The 928 S had black front and rear spoilers, side protection strips painted in exterior colour and side direction indicators. The displacement increased from an initial 4.7 litres to 5.0 litres (MY 1986). The power output was 300 hp, increasing to 310 hp as of MY 1984 and 288 hp (with catalytic converter) as of MY 1986.

928 S4 (MY 1987-91)
The 928 S4 featured a rounded front apron with air intakes. The slanting rear end had a black rear wing that projected away from the body between the wide, flush-fitted tail lights. Its 5.0-litre engine produced 320 hp.",/images/Id_b_17.jpg
18,928,928 GT & GTS,"When designing the 928, which went into series production as of model year 1978, the focus was on lightweight construction. The doors, front wings and bonnet were therefore made from aluminium instead of sheet steel. Behind the plastic bumpers integrated in the body shape there were also aluminium profiles that could withstand a collision at up to 8 km/h (5 mph) without any damage.

The 928 had round, electrically operated pop-up headlights that were integrated in the wings. The rounded fastback was dominated by the large window of the rear lid.

The 928 models were powered by a water-cooled V8 engine with a 90° cylinder arrangement. The displacement of the power unit was increased from an initial 4.5 litres to 5.4 litres. Power was transmitted according to the transaxle principle.

To improve aerodynamics, the models were fitted with a front and rear spoiler from type 928 S (MY 1979) onwards.

The rear axle of the 928 was a completely new development. What made this double-wishbone suspension – also known as the Weissach axle – unique was its toe-in stabilising effect. This worked more or less as a passive rear-wheel steering and thus made a significant contribution to the active safety of the Gran Turismo.

928 GT (Spring 1989-MY 1991)
The 928 GT was sportier than the 928 S4. Thanks to various modifications, its power unit generated up to 330 hp. The GT was delivered as standard without side protection strips and with wheels in a unique design.

928 GTS (MY 1992-95)
The last evolutionary stage of the 928 model featured flared rear wings, a red light panel at the rear, a rear wing painted in exterior colour, exterior mirrors in the Cup design plus 17"" Cup rims as standard. The 5.4-litre engine of the GTS generated 350 hp.",/images/Id_b_18.jpg
19,944,944,"In model year 1982, a fourth Porsche model line came onto the market. The 944 bridged the price and performance gap between the 924 and the 911 SC.

Although the body of the 944 was based on the 924, it had considerably more striking contours. The 944 also featured a 2.5-liter in-line four-cylinder engine developed by Porsche. The 944 was therefore viewed as a ""true"" Porsche in the eyes of customers. This transaxle model was also produced by Audi in Neckarsulm.

A front spoiler painted in the exterior color with square rubber buffers as well as much wider, slightly angular wings clearly distinguished the 944 from the 924. The 2.5-liter engine initially developed 163 hp; a catalytic converter version with 150 hp was introduced as of MY 86. The engine with catalytic converter was tuned for unleaded fuel with 95 RON in model year 1988, which increased the power to 160 hp. For the last model year (1989), the displacement was increased to 2.7 liters and the power grew to 165 hp.

944 S (model year 1987-88)
The 944 S was identical to the 944 in body design and equipment. However, this model was equipped with a four-valve engine for the first time, which developed up to 190 hp. A badge embossed with ""16 Ventiler"" was therefore available as an option behind the flasher repeaters.

944 S2 (1989-1991)
In model year 1989, the S2 model replaced the 944 S. It had the more muscular body, rear diffusor and (as of MY 91) the rear wing of the 944 Turbo.  
The 3.0-liter four-valve engine of the 944 S2 generated 211 hp and brought the successor to the S model to a performance level that almost matched that of the Turbo model.
The 944 S2 was also available in a Cabriolet version from the very beginning.",/images/Id_b_19.jpg
20,944,944 Turbo,"January 1985 saw the launch of the 944 Turbo – the top-of-the range model in the 944 model line. This model had an aerodynamically enhanced front apron with integrated fog lights and high-beam headlights. The black rubber buffers of the 944 were omitted. Below the rear bumper was a rear diffusor painted in exterior colour. The 2.5-litre turbo engine generated 220 hp, while the Turbo S version of model year 1988 produced up to 250 hp thanks to its larger turbocharger.

For MY 1989, the 944 Turbo received the same engine as the Turbo S model and as of MY 1990 it featured a bow-shaped black rear wing.
In the last model year (1991), the 944 Turbo was also available as a Cabriolet.",/images/Id_b_20.jpg
21,959,959,"The 959 technology platform was built on the basis of the 911 model line in an exclusive series of 292 cars. With a biturbo flat engine featuring water-cooled 4-valve cylinder heads, an electronically controlled chassis and all-wheel drive system, as well as an aerodynamically optimised body, Porsche demonstrated what was possible in the field of automotive design at that time. Despite its price of 420,000 Deutschmarks, the 959 quickly sold out.",/images/Id_b_21.jpg
22,964,964,"The new generation of the 911 came onto the market in model year 1989, at the same time as the phasing-out of the G series. The 911 Carrera 4 type 964 contained 85 percent new parts, but largely retained the classic shape of its predecessor. It was available in the Coupé, Targa and Cabriolet body designs.

Despite many similarities in the design, the 964 had much better aerodynamics than the G model. This was helped in particular by the new round front and rear sections as well as an automatically extending rear spoiler.

The 911 Carrera 4 was the first 911 to feature an all-wheel drive system. Its electronically controlled permanent all-wheel drive normally transmitted 31 percent of the drive torque to the front axle and 69 percent to the rear axle. Distribution could be varied according to the relevant driving situation. There was a traction switch on the centre console of the C4. Its 3.6-litre engine produced 250 hp.

As of model year 1990, an identical rear-wheel drive version (first model with Tiptronic) was available in the form of the 911 Carrera 2 and another Turbo version as of model year 1991.",/images/Id_b_22.jpg
23,964,964 Turbo,"The 911 Turbo (type 964) had a wider body with significantly more flared wheel housings compared to the Carrera models. At the rear, the rear wing largely adopted from the Turbo 3.3 of the G model as well as two oval tailpipes emphasised the vehicle's uniqueness. Exhaust gases only escaped through the left pipe when the boost-pressure control valve of the turbocharger was open.

In model years 1991-92, the 911 Turbo was powered by a turbocharged 3.3-litre engine with 320 hp. In MY 1993, it received a 3.6-litre engine with a power output of 360 hp. One of the distinguishing features of this version were the red brake callipers.

The 911 Turbo type 964 was – with the exception of a Cabriolet limited production run – only available as a Coupé.",/images/Id_b_23.jpg
24,968,968,"The last development stage of four-cylinder transaxle models at Porsche was initiated with the 968 in model year 1992.

Most of the body parts for the successor to the 944 S2 were adopted from the previous model. Nonetheless, the front end of the 968 in particular was much more modern – and partly anticipated the front design of the later 911 (type 993).

A six-speed manual transmission and a Tiptronic transmission were available for the 968 for the first time. This model also heralded the first use of VarioCam variable intake camshaft control.
The 968 was available as a Coupé and a Cabriolet.",/images/Id_b_24.jpg
25,993,993,"In model year 1994, the 964 model line was replaced by the 993 model line. This was a significant advance, not just from a technical, but also a visual perspective.

The front wings of the 993 Carrera were wider and flatter. Because of the shorter luggage compartment lid, the black rubber lip forming the seam between the body and the front bumper on the G model and the 964 was omitted. The rear wings were also widened and ran in a straighter line towards the rear with the higher-positioned tail lights.

The 993 was initially available as a Coupé and Cabriolet with rear-wheel drive. For model year 1995, there followed the all-wheel Carrera 4 and 911 Turbo versions with viscous multi-plate clutch and in model years 1996/97, the Carrera 4S and the Carrera S.

The Targa model produced as of MY 1996 featured a large, electrically adjustable sliding roof made of tinted laminated glass instead of the removable soft top for the first time. The existing roll-over bar could therefore be dispensed with.

The Carrera and Targa models were powered by a new 3.6-litre engine, which initially developed 272 hp and 285 hp as of MY 1996.",/images/Id_b_25.jpg
26,993,993 Turbo,"In the 911 Turbo from the 993 model line, twin turbocharging was used for the first time, with one smaller turbocharger installed in each cylinder bank. It was also the first Turbo model to feature all-wheel drive.

The front apron of the Turbo had three separate air openings at the front plus air slots for brake cooling in the lower side area. The rear spoiler was completely painted in the exterior colour. Like the Carrera 4 models, the 911 Turbo also had white direction indicators at the front and red at the rear.

The 3.6-litre biturbo engine developed a power output of 408 hp as standard. As of MY 1996, a power kit for increasing power output to 430 hp was available, with 450 hp available as of MY 1998.

In MY 1995, Porsche Exclusive produced a limited production run (14 units) with the name 911 Cabriolet Turbo, which featured a particularly large rear spoiler.",/images/Id_b_26.jpg
27,986,Boxter,"From model year 1997 onwards, the Porsche Boxster set new standards for performance and safety in the open-top sports car market. The roadster combined the dynamic driving qualities of a sports car with unlimited day-to-day practicality. A new type of convertible top kinematics enabled the electrically operated top to be opened and closed in just twelve seconds – an unrivaled speed. The Boxster distinguished itself from its strongest competitors through its mid-engine concept and the six-cylinder flat engine typical of the Porsche brand. The Boxster series featured water-cooled engines.

The hood, front headlight units with low beam and high beam, indicators and fog lights, front fenders and doors were identical on the 911 Carrera and Boxster as a result of the shared parts concept.",/images/Id_b_27.jpg
28,986,Boxter S,"In model year 1999, Porsche extended the Boxster series to include the top-of-the-range Boxster S. The top model only differed from the Boxster in terms of a few visual details.

The Boxster S was powered by a 3.2-liter engine, initially with an output of 252 horsepower but this was enhanced to 260 horsepower from model year 2003 onwards.

In model year 2003, the convertible top of the Boxster series was fundamentally revised. When closed, it resembled the optional hardtop, which had an even more rounded contour.",/images/Id_b_28.jpg
29,996,911 Carrera,"With the new 911 Carrera, known internally as Generation 996, Porsche presented the successor to the classic. Apart from the name 911 Carrera and a six-cylinder flat engine at the rear, the newly developed model series had nothing in common with the previous 911.

The bodyshell of the 996 had grown significantly in size. Galvanized sheet steel and higher-strength steels were used to reinforce the body shell on both sides. The side mirrors of the series were now fixed in front of the side windows and no longer on the doors.

The hood, front headlight units with low beam and high beam, indicators and fog lights, front fenders and doors were identical on the 911 Carrera and Boxster as a result of the shared parts concept.
The series featured water-cooled engines.",/images/Id_b_29.jpg
30,996,911 Carrera 4,"In model year 1999, the 911 Carrera 4 with permanent all-wheel drive was added to the model series. It was offered as a Coupe and as a Cabriolet. Externally, the bodyshell was identical to that of the rear-wheel drive Carrera.

Based on the 911 Carrera 4 Coupe, a special model was introduced in model year 2000 to mark the coming millennium. The Millennium model was limited to 911 units and was only available in the special color Violet Chroma Flair.",/images/Id_b_30.jpg
31,996,911 Turbo,"In model year 2001, the turbo-free time at Porsche came to an end. The 911 Turbo Coupe was introduced.

Its 3.6-liter twin-turbo engine delivered 420 horsepower. The Turbo featured all-wheel drive and a six-speed manual transmission as standard.In model year 2004, a 911 Turbo Cabriolet was series-produced for the first time since 1989. The vehicle’s wide bodyshell, technology and equipment were based on the 911 Turbo.

The model range was extended in model year 2005 with the 911 Turbo S. This vehicle was available as a Coupe and as a Cabriolet. With an output of 450 horsepower, the Turbo S delivered a total of 30 horsepower more than the standard 911 Turbo.",/images/Id_b_31.jpg
32,996,911 GT2,"From model year 2001, the model range was extended to include the 911 GT2. The bodyshell of the extreme sports car was based on the bodyshell of the 911 Turbo. The GT2 engine was also based on the 911 Turbo but had ten percent more power. The twin-turbo engine delivered 462 horsepower. The GT2 was offered with a Clubsport Package for use in motorsport.

The successor to the GT2 was offered from model year 2003 onwards. The bodyshell of the new GT2 was not modified but the 3.6-liter engine had even more power. The twin-turbo engine delivered a staggering 483 horsepower. The new GT2 was also available with a Clubsport Package.",/images/Id_b_32.jpg
33,996,911 GT3,"From model year 1999, the GT3 filled the sporty niche in the model range. The GT3 had a maximum speed of 188 mph (302 km/h). The GT3 was available with a Clubsport Package for use in motorsport.

From model year 2003 onwards, the revised engine delivered even more power and reached a maximum speed of 190 mph (306 km/h).

The 911 GT3 RS, launched in model year 2004, was designed as a road-approved racing car.",/images/Id_b_33.jpg
34,980,980,"Ten years after production of the Carrera GT ended, it is now a member of the Porsche Classic family. The appearance and lines of the Type 980, which was manufactured from 2003 onwards, reveal its motor sports inheritance. While its design indicates its stylistic links with standard production vehicles, it also takes some of its features from legendary Porsche racing cars.

In this exclusive production run of only 1270 cars, the Carrera GT was powered by a ten-cylinder engine with dry-sump lubrication. The capacity of the 5.5-liter naturally aspirated V10 engine, which was originally designed for use on the track, was increased to 5.7 liters for the standard production model.

With a power output of 450 kW/612 PS at 8000 rpm and a top speed of over 330 km/h, the Carrera GT set new standards. This power was transferred to the road by manual six-speed gearbox.",/images/Id_b_34.jpg
35,Cayenne ,Cayenne ,"In model year 2003, Porsche launched its first fully offroad vehicle – the Porsche Cayenne. Initially, the Cayenne S and Cayenne Turbo were the only model variants available but Porsche added an entry-level Cayenne to expand the range in model year 2004. The launch of the Cayenne Diesel for model year 2009 saw Porsche offer a model with a diesel engine for the first time.

The bodyshell of this SUV series was around 15.7 ft (4.8 meters) long, nearly 6.6 ft (2 meters) wide and 5.6 ft (1.7 meters) tall. The front section of the Porsche Cayenne was based on the design of the 911. All Cayenne models featured all-wheel drive.

The Cayenne models with gasoline engines are powered by a water-cooled V8 engine. The Cayenne Diesel featured a V6 turbo diesel engine.",/images/Id_b_35.jpg
36,Cayenne ,Cayenne S,"In model year 2003, Porsche launched its first fully offroad vehicle – the Porsche Cayenne. Initially, the Cayenne S and Cayenne Turbo were the only model variants available.

The standard SUV bodyshell was made of fully galvanized sheet steel. Four large doors made it possible to easily access the five seats. Around 19 cubic feet (540 liters) of luggage could be stowed in the SUV. With the rear seats folded down, the loading volume could be extended to up to 41 cubic feet (1,170 liters).",/images/Id_b_36.jpg
37,Cayenne ,Cayenne Turbo,"A water-cooled V8 engine with twin-turbocharging powered the Cayenne Turbo. From model year 2005 onwards, the Cayenne Turbo was offered with an enhanced performance level. This version produced 50 horsepower more than the Cayenne Turbo without increased performance enhancement.

In model year 2006, Porsche introduced the top-of-the-range Cayenne Turbo S model.",/images/Id_b_37.jpg
